Offset-Description       Player:                       Enemy 1:                      Enemy: 2
0000 - Pointer           E56C460 : P->13C3BA90         FDD4110 : P->13C3BA90         FD499F0 : P->13C3BA90         
0008 - 4 Bytes           E56C468 : 1                   FDD4118 : 1                   FD499F8 : 1                   
000C - 4 Bytes           E56C46C : 6488064             FDD411C : 11730944            FD499FC : 5963776             
0010 - Float             E56C470 : 2000                FDD4120 : 15000               FD49A00 : 6000                
0014 - Float             E56C474 : 1042.5              FDD4124 : 14808               FD49A04 : 4943.829102         
0018 - 4 Bytes           E56C478 : 0                   FDD4128 : 0                   FD49A08 : 0                   
001C - 4 Bytes           E56C47C : 0                   FDD412C : 0                   FD49A0C : 0                   
0020 - Pointer           E56C480 : P->139B95B8         FDD4130 : P->139CF4D8         FD49A10 : P->139CF4D8         
0028 - 4 Bytes           E56C488 : 1                   FDD4138 : 1                   FD49A18 : 10                  
002C - 4 Bytes (Hex)     E56C48C : 00650000            FDD413C : 00B50000            FD49A1C : 005D0000            
0030 - Pointer           E56C490 : P->00010001         FDD4140 : P->0FF710D0         FD49A20 : P->10544360         
0038 - Pointer           E56C498 : P->106630C0         FDD4148 : P->0FF71100         FD49A28 : P->10544390         
0040 - 4 Bytes           E56C4A0 : 272496256           FDD4150 : 0                   FD49A30 : 0                   
0044 - 4 Bytes           E56C4A4 : 0                   FDD4154 : 4294967295          FD49A34 : 4294967295          
0048 - 4 Bytes           E56C4A8 : 275123280           FDD4158 : 0                   FD49A38 : 0                   
004C - 4 Bytes           E56C4AC : 0                   FDD415C : 0                   FD49A3C : 0                   
0050 - Pointer           E56C4B0 : P->103DF8E0         FDD4160 : P->10BA3C90         FD49A40 : P->10BA3C90         
0058 - 4 Bytes           E56C4B8 : 275121056           FDD4168 : 0                   FD49A48 : 0                   
005C - 4 Bytes           E56C4BC : 0                   FDD416C : 0                   FD49A4C : 0                   
0060 - Pointer           E56C4C0 : P->4286E9CA         FDD4170 : P->139D8670         FD49A50 : P->139D8670         
0068 - 4 Bytes           E56C4C8 : 0                   FDD4178 : 4294967295          FD49A58 : 4294967295          
006C - 4 Bytes (Hex)     E56C4CC : 3E4CCCCD            FDD417C : 00B90000            FD49A5C : 00610000            
0070 - 4 Bytes           E56C4D0 : 1092925140          FDD4180 : 0                   FD49A60 : 0                   
0074 - 4 Bytes           E56C4D4 : 1065353216          FDD4184 : 0                   FD49A64 : 10                  
0078 - Float             E56C4D8 : 0                   FDD4188 : 100                 FD49A68 : 100                 
007C - 4 Bytes           E56C4DC : 0                   FDD418C : 0                   FD49A6C : 0                   
